Sample	SRA	BioProject	Location	Location_short	Latitude	Longitude	Plant	Organ material	Year	Season	Species
S29	SRR24918006	PRJNA980748	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Vineyard Makarevich (M, M-dm, Ad, Muk)	43.718600	132.11040	M	Stem	2022	Summer	V. amurensis
S30	SRR24918004	PRJNA980748	The commercial vineyard «Makarevich» (43.718600, 132.11040)	Vineyard Makarevich (M, M-dm, Ad, Muk)	43.718600	132.11040	M	Stem	2022	Summer	V. amurensis
S31	SRR24918001	PRJNA980748	The Verkhne-Ussuriysky Research Station (SSA) of the Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, the center of Primorsky Territory of the Russian Far East (44.034842, 134.202996)	The Verkhne-Ussuriysky Research Station (P-6)	44.034842	134.202996	P-6	Leaf	2022	Summer	V. amurensis
S32	SRR24917947	PRJNA980748	The Verkhne-Ussuriysky Research Station (SSA) of the Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, the center of Primorsky Territory of the Russian Far East (44.034842, 134.202996)	The Verkhne-Ussuriysky Research Station (P-6)	44.034842	134.202996	P-6	Leaf	2022	Summer	V. amurensis
S33	SRR24917945	PRJNA980748	The Verkhne-Ussuriysky Research Station (SSA) of the Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, the center of Primorsky Territory of the Russian Far East (44.034842, 134.202996)	The Verkhne-Ussuriysky Research Station (P-6)	44.034842	134.202996	P-6	Stem	2022	Summer	V. amurensis
S34	SRR24918067	PRJNA980748	The Verkhne-Ussuriysky Research Station (SSA) of the Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, the center of Primorsky Territory of the Russian Far East (44.034842, 134.202996)	The Verkhne-Ussuriysky Research Station (P-6)	44.034842	134.202996	P-6	Stem	2022	Summer	V. amurensis
S35	SRR24918065	PRJNA980748	Rikord Island, the southern Primorsky Territory of the Russian Far East (42.870564, 131.655779)	Rikord Island (P-4)	42.870564	131.655779	P-4	Leaf	2022	Summer	V. amurensis
S36	SRR24917998	PRJNA980748	Rikord Island, the southern Primorsky Territory of the Russian Far East (42.870564, 131.655779)	Rikord Island (P-4)	42.870564	131.655779	P-4	Leaf	2022	Summer	V. amurensis
S37	SRR24918039	PRJNA980748	Rikord Island, the southern Primorsky Territory of the Russian Far East (42.870564, 131.655779)	Rikord Island (P-4)	42.870564	131.655779	P-4	Stem	2022	Summer	V. amurensis
S38	SRR24918037	PRJNA980748	Rikord Island, the southern Primorsky Territory of the Russian Far East (42.870564, 131.655779)	Rikord Island (P-4)	42.870564	131.655779	P-4	Stem	2022	Summer	V. amurensis
